"Name","State","Notes","User","Tags","Created","Runtime","Sweep","activation_function","hidden_layers","learning_rate","method","metric.goal","metric.name","optimizer","parameters.activation_functions","parameters.hidden_layerss","parameters.learning_rate.distribution","parameters.learning_rate.max","parameters.learning_rate.min","parameters.learning_rates","parameters.optimizers","Epoch","Train Accuracy","Train Loss","Validation Accuracy","Validation F1 Score","Validation Loss","Validation Precision","Validation Recall"
"serene-sweep-5","finished","-","","","2024-10-12T16:04:55.000Z","38","gfz9i1yu","tanh","[18,9]","0.01","","","","sgd","","","","","","","","500","0.6652078774617067","1.8634647902352457","0.5764192139737991","","1.1198490902984428","",""
"floral-sweep-4","finished","-","","","2024-10-12T16:04:02.000Z","50","gfz9i1yu","tanh","[64,32]","0.1","","","","batch","","","","","","","","500","0.5689277899343544","1.0269020406907123","0.5851528384279476","","0.957558316062487","",""
"logical-sweep-3","finished","-","","","2024-10-12T16:03:25.000Z","34","gfz9i1yu","sigmoid","[9]","0.1","","","","sgd","","","","","","","","500","0.6925601750547046","1.879487116222719","0.5938864628820961","","1.0554819381216327","",""
"floral-sweep-2","finished","-","","","2024-10-12T16:03:14.000Z","5","gfz9i1yu","tanh","[9]","0.1","","","","mini_batch","","","","","","","","500","0.6859956236323851","0.7917132499576032","0.5895196506550219","","0.9418691420597194","",""
"vital-sweep-1","finished","-","","","2024-10-12T16:03:03.000Z","8","gfz9i1yu","sigmoid","[64,32]","0.1","","","","mini_batch","","","","","","","","500","0.5339168490153173","1.178272138964204","0.6026200873362445","","1.0993662954542165","",""
"rare-sweep-6","finished","-","","","2024-10-12T16:02:00.000Z","43","m29m5snd","linear","[64,32]","0.01","","","","sgd","","","","","","","","500","0.5940919037199125","1.497551160170011","0.6375545851528385","","0.8820302862616693","",""
"copper-sweep-5","finished","-","","","2024-10-12T16:01:12.000Z","42","m29m5snd","linear","[64,32]","0.01","","","","sgd","","","","","","","","500","0.5940919037199125","1.4977577147844876","0.6375545851528385","","0.8819421525224084","",""
"hearty-sweep-4","finished","-","","","2024-10-12T15:59:48.000Z","78","m29m5snd","linear","[18,9]","0.001","","","","sgd","","","","","","","","500","0.612691466083151","1.4166571860189403","0.6462882096069869","","0.8912860450856952","",""
"polished-sweep-3","finished","-","","","2024-10-12T15:59:10.000Z","33","m29m5snd","linear","[18,9]","0.01","","","","sgd","","","","","","","","500","0.5973741794310722","1.4539383089454596","0.6200873362445415","","0.8788169883020924","",""
"neat-sweep-2","finished","-","","","2024-10-12T15:58:28.000Z","39","m29m5snd","sigmoid","[18,9]","0.001","","","","sgd","","","","","","","","500","0.4234135667396061","1.1971034904340208","0.4192139737991266","","1.125087672742905","",""
"glad-sweep-1","finished","-","","","2024-10-12T15:58:22.000Z","4","m29m5snd","linear","[64,32]","0.01","","","","batch","","","","","","","","500","0.4234135667396061","1.346892283700054","0.4192139737991266","","1.3129604966084008","",""
"sweepy-sweep-4","finished","-","","","2024-10-12T15:56:07.000Z","48","ho97i4nb","linear","[9]","0.001","","","","mini_batch","","","","","","","","500","0.6028446389496718","1.0181836832087878","0.6157205240174672","","0.9696352403213264","",""
"fancy-sweep-3","finished","-","","","2024-10-12T15:55:25.000Z","38","ho97i4nb","linear","[64,32]","0.001","","","","sgd","","","","","","","","500","0.611597374179431","1.4200986537423477","0.6419213973799127","","0.888880429077344","",""
